NAME,data_type,type,year,percent,Vot
West Virginia,Exemption,Medical Exemption,2015,0.2,NA
West Virginia,Exemption,Medical Exemption,2010,1.3,NA
West Virginia,Exemption,Medical Exemption,2021,NA,NA
West Virginia,Exemption,Medical Exemption,2020,0.1,NA
West Virginia,Exemption,Medical Exemption,2019,0.8,NA
West Virginia,Exemption,Non-Medical Exemption,2015,NA,NA
West Virginia,Exemption,Non-Medical Exemption,2014,NA,NA
West Virginia,Exemption,Non-Medical Exemption,2013,NA,NA
West Virginia,Exemption,Non-Medical Exemption,2012,NA,NA
West Virginia,Exemption,Non-Medical Exemption,2011,NA,NA
West Virginia,Exemption,Non-Medical Exemption,2010,NA,NA
West Virginia,Exemption,Medical Exemption,2024,0.1,NA
West Virginia,Exemption,Any Exemption,2024,0.1,NA
Missouri,Exemption,Any Exemption,2023,3.8,NA
Missouri,Exemption,Medical Exemption,2023,0.2,NA
Missouri,Exemption,Non-Medical Exemption,2023,3.6,NA
Connecticut,Exemption,Non-Medical Exemption,2023,0.5,NA
Connecticut,Exemption,Medical Exemption,2023,0.3,NA
Connecticut,Exemption,Any Exemption,2023,0.8,NA
Alaska,Exemption,Any Exemption,2011,NA,NA
Alaska,Exemption,Any Exemption,2018,7,NA
Alaska,Exemption,Any Exemption,2017,6.8,NA
Alaska,Exemption,Any Exemption,2016,5.9,NA
Alaska,Exemption,Any Exemption,2015,5.8,NA
Alaska,Exemption,Any Exemption,2014,5.3,NA
Alaska,Exemption,Any Exemption,2013,5.6,NA
Alaska,Exemption,Any Exemption,2012,7,NA
Alaska,Exemption,Any Exemption,2021,4,NA
Alaska,Exemption,Any Exemption,2020,5.9,NA
Alaska,Exemption,Any Exemption,2022,4.6,NA
Alaska,Exemption,Any Exemption,2019,7.1,NA
Alaska,Exemption,Medical Exemption,2022,0.5,NA
Alaska,Exemption,Medical Exemption,2021,0.2,NA
Alaska,Exemption,Medical Exemption,2020,0.5,NA
Alaska,Exemption,Medical Exemption,2019,0.5,NA
Alaska,Exemption,Medical Exemption,2014,1.2,NA
Alaska,Exemption,Medical Exemption,2013,1.6,NA
Alaska,Exemption,Medical Exemption,2012,1.3,NA
Alaska,Exemption,Medical Exemption,2011,NA,NA
Alaska,Exemption,Medical Exemption,2010,1.7,NA
Alaska,Exemption,Medical Exemption,2018,0.8,NA
Alaska,Exemption,Medical Exemption,2017,1.5,NA
Alaska,Exemption,Medical Exemption,2016,1.2,NA
Alaska,Exemption,Medical Exemption,2015,1.3,NA
Alaska,Exemption,Any Exemption,2010,5.5,NA
Alaska,Exemption,Non-Medical Exemption,2022,4.1,NA
Alaska,Exemption,Non-Medical Exemption,2021,3.8,NA
Alaska,Exemption,Non-Medical Exemption,2020,5.4,NA
Alaska,Exemption,Non-Medical Exemption,2019,6.6,NA
Alaska,Exemption,Non-Medical Exemption,2018,5.7,NA
Alaska,Exemption,Non-Medical Exemption,2017,5.2,NA
Alaska,Exemption,Non-Medical Exemption,2016,4.7,NA
Alaska,Exemption,Non-Medical Exemption,2015,4.5,NA
Alaska,Exemption,Non-Medical Exemption,2014,4.1,NA
Alaska,Exemption,Non-Medical Exemption,2013,4,NA
Alaska,Exemption,Non-Medical Exemption,2012,5.7,NA
Alaska,Exemption,Non-Medical Exemption,2011,NA,NA
Alaska,Exemption,Non-Medical Exemption,2010,3.8,NA
Alaska,Exemption,Any Exemption,2024,9.5,NA
Alaska,Exemption,Non-Medical Exemption,2024,9.2,NA
Alaska,Exemption,Medical Exemption,2024,0.3,NA
Alaska,Exemption,Any Exemption,2025,9.4,NA
Alaska,Exemption,Non-Medical Exemption,2025,9,NA
Alaska,Exemption,Medical Exemption,2025,0.4,NA
Missouri,Exemption,Any Exemption,2010,NA,NA
Missouri,Exemption,Non-Medical Exemption,2022,2.8,NA
Missouri,Exemption,Any Exemption,2016,1.8,NA
Missouri,Exemption,Any Exemption,2015,2,NA
Missouri,Exemption,Any Exemption,2013,1.8,NA
Missouri,Exemption,Any Exemption,2014,1.8,NA
Missouri,Exemption,Any Exemption,2018,2.3,NA
Missouri,Exemption,Any Exemption,2017,2.2,NA
Missouri,Exemption,Any Exemption,2021,2.5,NA
Missouri,Exemption,Any Exemption,2020,2.7,NA
Missouri,Exemption,Medical Exemption,2022,0.2,NA
Missouri,Exemption,Any Exemption,2011,NA,NA
Missouri,Exemption,Any Exemption,2019,2.7,NA
Missouri,Exemption,Any Exemption,2022,3,NA
Missouri,Exemption,Any Exemption,2012,2.4,NA
